[08-09 15:40] supervisor started (pause<40G, resume>150G)
[08-10 12:10] ok: /data 5526G, pilot_up=1, 3 vthd jobs outstanding
[08-10 12:20] ok: /data 5765G, pilot_up=1, 3 vthd jobs outstanding
[08-10 12:30] ok: /data 5762G, pilot_up=1, 3 vthd jobs outstanding
[08-10 12:40] ok: /data 5761G, pilot_up=1, 3 vthd jobs outstanding
[08-10 12:50] ok: /data 5980G, pilot_up=1, 3 vthd jobs outstanding
[08-10 13:00] ok: /data 5976G, pilot_up=1, 3 vthd jobs outstanding
[08-10 13:10] ok: /data 5977G, pilot_up=1, 3 vthd jobs outstanding
[08-10 13:20] ok: /data 5977G, pilot_up=1, 3 vthd jobs outstanding
[08-10 13:30] ok: /data 5977G, pilot_up=1, 3 vthd jobs outstanding
[08-10 13:40] ok: /data 5959G, pilot_up=1, 3 vthd jobs outstanding
[08-10 13:50] ok: /data 5975G, pilot_up=1, 3 vthd jobs outstanding
[08-10 14:00] ok: /data 5977G, pilot_up=1, 3 vthd jobs outstanding
[08-10 14:10] ok: /data 5977G, pilot_up=1, 3 vthd jobs outstanding
[08-10 14:20] ok: /data 5919G, pilot_up=1, 3 vthd jobs outstanding
[08-10 14:30] ok: /data 5920G, pilot_up=1, 3 vthd jobs outstanding
[08-10 14:40] ok: /data 5920G, pilot_up=1, 3 vthd jobs outstanding
[08-10 14:50] ok: /data 5920G, pilot_up=1, 3 vthd jobs outstanding
[08-10 15:00] ok: /data 5915G, pilot_up=1, 3 vthd jobs outstanding
[08-10 15:10] ok: /data 5887G, pilot_up=1, 3 vthd jobs outstanding
[08-10 15:20] ok: /data 5870G, pilot_up=1, 3 vthd jobs outstanding
[08-10 15:30] ok: /data 5895G, pilot_up=1, 3 vthd jobs outstanding
[08-10 15:40] ok: /data 5890G, pilot_up=1, 2 vthd jobs outstanding
[08-10 15:50] ok: /data 5890G, pilot_up=1, 2 vthd jobs outstanding
[08-10 16:00] ok: /data 5889G, pilot_up=1, 2 vthd jobs outstanding
[08-10 16:10] ok: /data 5888G, pilot_up=1, 2 vthd jobs outstanding
[08-10 16:20] ok: /data 5889G, pilot_up=1, 2 vthd jobs outstanding
[08-10 16:30] ok: /data 5877G, pilot_up=1, 2 vthd jobs outstanding
[08-10 16:40] ok: /data 5870G, pilot_up=1, 2 vthd jobs outstanding
[08-10 16:50] ok: /data 5867G, pilot_up=1, 2 vthd jobs outstanding
[08-10 17:00] ok: /data 5866G, pilot_up=1, 2 vthd jobs outstanding
[08-10 17:10] ok: /data 5849G, pilot_up=1, 2 vthd jobs outstanding
[08-10 17:20] ok: /data 5843G, pilot_up=1, 2 vthd jobs outstanding
